Time, 13_EV, 33_EV, 4_EV, 56_EV, 58_EV, 5_EV, 60_EV, 63_EV, 66_EV, 
2019 Aug 19 (Mon) 0:00, 7400, 0, 0, 7400, 0, 0, 0, 0, 7400, 
2019 Aug 19 (Mon) 0:30, 0, 0, 0, 7400, 7400, 0, 0, 0, 7400, 
2019 Aug 19 (Mon) 1:00, 0, 0, 7400, 0, 0, 0, 0, 0, 0, 
2019 Aug 19 (Mon) 1:30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2019 Aug 19 (Mon) 2:00, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2019 Aug 19 (Mon) 2:30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2019 Aug 19 (Mon) 3:00, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2019 Aug 19 (Mon) 3:30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2019 Aug 19 (Mon) 4:00, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2019 Aug 19 (Mon) 4:30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2019 Aug 19 (Mon) 5:00, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2019 Aug 19 (Mon) 5:30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2019 Aug 19 (Mon) 6:00, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2019 Aug 19 (Mon) 6:30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2019 Aug 19 (Mon) 7:00, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2019 Aug 19 (Mon) 7:30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2019 Aug 19 (Mon) 8:00, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2019 Aug 19 (Mon) 8:30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2019 Aug 19 (Mon) 9:00, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2019 Aug 19 (Mon) 9:30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2019 Aug 19 (Mon) 10:00, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2019 Aug 19 (Mon) 10:30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2019 Aug 19 (Mon) 11:00, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2019 Aug 19 (Mon) 11:30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2019 Aug 19 (Mon) 12:00, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2019 Aug 19 (Mon) 12:30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2019 Aug 19 (Mon) 13:00, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2019 Aug 19 (Mon) 13:30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2019 Aug 19 (Mon) 14:00, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2019 Aug 19 (Mon) 14:30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2019 Aug 19 (Mon) 15:00, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2019 Aug 19 (Mon) 15:30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2019 Aug 19 (Mon) 16:00, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2019 Aug 19 (Mon) 16:30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2019 Aug 19 (Mon) 17:00, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2019 Aug 19 (Mon) 17:30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2019 Aug 19 (Mon) 18:00, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2019 Aug 19 (Mon) 18:30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2019 Aug 19 (Mon) 19:00, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2019 Aug 19 (Mon) 19:30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2019 Aug 19 (Mon) 20:00, 0, 0, 7400, 0, 0, 0, 7400, 0, 0, 
2019 Aug 19 (Mon) 20:30, 0, 0, 7400, 0, 0, 0, 7400, 0, 0, 
2019 Aug 19 (Mon) 21:00, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2019 Aug 19 (Mon) 21:30, 0, 0, 0, 0, 0, 7400, 0, 0, 0, 
2019 Aug 19 (Mon) 22:00, 0, 7400, 0, 0, 0, 7400, 0, 0, 0, 
2019 Aug 19 (Mon) 22:30, 0, 7400, 0, 0, 0, 0, 0, 0, 0, 
2019 Aug 19 (Mon) 23:00, 0, 0, 0, 7400, 0, 0, 0, 7400, 0, 
2019 Aug 19 (Mon) 23:30, 0, 0, 0, 7400, 7400, 0, 0, 7400, 7400, 
2019 Aug 20 (Tue) 0:00, 7400, 0, 0, 0, 7400, 0, 0, 0, 7400, 
