Time, PhaseA, PhaseB, PhaseC, Neutral
2019 Aug 19 (Mon) 0:00, 0.975408, 0.986424, 0.960839, 0.982414
2019 Aug 19 (Mon) 0:30, 0.917386, 0.983544, 0.951182, 0.753748
2019 Aug 19 (Mon) 1:00, 0.965796, 0.981489, 0.988647, 0.121963
2019 Aug 19 (Mon) 1:30, 0.960121, 0.960474, 0.979952, 0.870506
2019 Aug 19 (Mon) 2:00, 0.904565, 0.949847, 0.904131, 0.883551
2019 Aug 19 (Mon) 2:30, 0.956797, 0.956815, 0.956823, 0.953623
2019 Aug 19 (Mon) 3:00, 0.970694, 0.970706, 0.97071, 0.953417
2019 Aug 19 (Mon) 3:30, 0.959377, 0.959394, 0.959401, 0.953497
2019 Aug 19 (Mon) 4:00, 0.937282, 0.937307, 0.93732, 0.953835
2019 Aug 19 (Mon) 4:30, 0.926439, 0.926467, 0.926483, 0.953783
2019 Aug 19 (Mon) 5:00, 0.949946, 0.949966, 0.949976, 0.953328
2019 Aug 19 (Mon) 5:30, 0.972417, 0.972429, 0.972433, 0.952457
2019 Aug 19 (Mon) 6:00, 0.975055, 0.975066, 0.975069, 0.952068
2019 Aug 19 (Mon) 6:30, 0.90349, 0.903516, 0.903536, 0.953199
2019 Aug 19 (Mon) 7:00, 0.93226, 0.932283, 0.932296, 0.952434
2019 Aug 19 (Mon) 7:30, 0.928108, 0.92813, 0.928144, 0.95223
2019 Aug 19 (Mon) 8:00, 0.935594, 0.935616, 0.935628, 0.952151
2019 Aug 19 (Mon) 8:30, 0.899441, 0.899467, 0.899487, 0.953154
2019 Aug 19 (Mon) 9:00, 0.901059, 0.901085, 0.901105, 0.953168
2019 Aug 19 (Mon) 9:30, 0.939785, 0.939807, 0.93982, 0.952537
2019 Aug 19 (Mon) 10:00, 0.962792, 0.962808, 0.962814, 0.952252
2019 Aug 19 (Mon) 10:30, 0.975059, 0.97507, 0.975074, 0.952173
2019 Aug 19 (Mon) 11:00, 0.956762, 0.95678, 0.956788, 0.952502
2019 Aug 19 (Mon) 11:30, 0.959336, 0.959354, 0.959361, 0.952312
2019 Aug 19 (Mon) 12:00, 0.957613, 0.957631, 0.957639, 0.952283
2019 Aug 19 (Mon) 12:30, 0.936434, 0.936457, 0.93647, 0.952667
2019 Aug 19 (Mon) 13:00, 0.977709, 0.977719, 0.977722, 0.951708
2019 Aug 19 (Mon) 13:30, 0.96714, 0.967155, 0.96716, 0.952197
2019 Aug 19 (Mon) 14:00, 0.923138, 0.923163, 0.92318, 0.953025
2019 Aug 19 (Mon) 14:30, 0.897796, 0.897825, 0.897847, 0.9535
2019 Aug 19 (Mon) 15:00, 0.973274, 0.973286, 0.97329, 0.951822
2019 Aug 19 (Mon) 15:30, 0.952467, 0.952486, 0.952495, 0.952017
2019 Aug 19 (Mon) 16:00, 0.973248, 0.97326, 0.973264, 0.951181
2019 Aug 19 (Mon) 16:30, 0.944821, 0.94484, 0.944851, 0.951605
2019 Aug 19 (Mon) 17:00, 0.954994, 0.95501, 0.955018, 0.950801
2019 Aug 19 (Mon) 17:30, 0.928116, 0.928133, 0.928144, 0.951006
2019 Aug 19 (Mon) 18:00, 0.922354, 0.922369, 0.922379, 0.950646
2019 Aug 19 (Mon) 18:30, 0.944122, 0.92556, 0.925826, 0.92839
2019 Aug 19 (Mon) 19:00, 0.935007, 0.914091, 0.914373, 0.928852
2019 Aug 19 (Mon) 19:30, 0.95579, 0.955802, 0.955809, 0.948878
2019 Aug 19 (Mon) 20:00, 0.969447, 0.985662, 0.968336, 0.861801
2019 Aug 19 (Mon) 20:30, 0.925358, 0.952624, 0.925427, 0.605512
2019 Aug 19 (Mon) 21:00, 0.95173, 0.936496, 0.953151, 0.976245
2019 Aug 19 (Mon) 21:30, 0.933088, 0.933103, 0.933113, 0.950337
2019 Aug 19 (Mon) 22:00, 0.9531, 0.933841, 0.934097, 0.926495
2019 Aug 19 (Mon) 22:30, 0.95132, 0.951252, 0.929885, 0.794504
2019 Aug 19 (Mon) 23:00, 0.926308, 0.965642, 0.964111, 0.997983
2019 Aug 19 (Mon) 23:30, 0.967906, 0.938082, 0.956389, 0.306464
2019 Aug 20 (Tue) 0:00, 0.989005, 0.933565, 0.936813, 0.859796
