Time, Spot Price
2019 Aug 19 (Mon) 0:00, 48.23
2019 Aug 19 (Mon) 0:30, 27.16
2019 Aug 19 (Mon) 1:00, 16.05
2019 Aug 19 (Mon) 1:30, 32.3
2019 Aug 19 (Mon) 2:00, 42.8
2019 Aug 19 (Mon) 2:30, 43.65
2019 Aug 19 (Mon) 3:00, 24.76
2019 Aug 19 (Mon) 3:30, 32.42
2019 Aug 19 (Mon) 4:00, 24.74
2019 Aug 19 (Mon) 4:30, 38.43
2019 Aug 19 (Mon) 5:00, 47.9
2019 Aug 19 (Mon) 5:30, 52.35
2019 Aug 19 (Mon) 6:00, 56.1
2019 Aug 19 (Mon) 6:30, 64.61
2019 Aug 19 (Mon) 7:00, 103.44
2019 Aug 19 (Mon) 7:30, 75.23
2019 Aug 19 (Mon) 8:00, 53.49
2019 Aug 19 (Mon) 8:30, 50.72
2019 Aug 19 (Mon) 9:00, 30.45
2019 Aug 19 (Mon) 9:30, 39.06
2019 Aug 19 (Mon) 10:00, 45.3
2019 Aug 19 (Mon) 10:30, 42.44
2019 Aug 19 (Mon) 11:00, 47.38
2019 Aug 19 (Mon) 11:30, 41.89
2019 Aug 19 (Mon) 12:00, 47.9
2019 Aug 19 (Mon) 12:30, 32.84
2019 Aug 19 (Mon) 13:00, 37.89
2019 Aug 19 (Mon) 13:30, 46.58
2019 Aug 19 (Mon) 14:00, 36.53
2019 Aug 19 (Mon) 14:30, 41.61
2019 Aug 19 (Mon) 15:00, 37.62
2019 Aug 19 (Mon) 15:30, 47.87
2019 Aug 19 (Mon) 16:00, 64.93
2019 Aug 19 (Mon) 16:30, 53.43
2019 Aug 19 (Mon) 17:00, 66.83
2019 Aug 19 (Mon) 17:30, 87.44
2019 Aug 19 (Mon) 18:00, 105.03
2019 Aug 19 (Mon) 18:30, 152.8
2019 Aug 19 (Mon) 19:00, 184.21
2019 Aug 19 (Mon) 19:30, 95.63
2019 Aug 19 (Mon) 20:00, 87.55
2019 Aug 19 (Mon) 20:30, 92.47
2019 Aug 19 (Mon) 21:00, 84.67
2019 Aug 19 (Mon) 21:30, 78.4
2019 Aug 19 (Mon) 22:00, 70.89
2019 Aug 19 (Mon) 22:30, 70.76
2019 Aug 19 (Mon) 23:00, 53.69
2019 Aug 19 (Mon) 23:30, 49.98
2019 Aug 20 (Tue) 0:00, 48.85
