Time, 12_EV, 19_EV, 27_EV, 39_EV, 40_EV, 50_EV, 54_EV, 59_EV, 6_EV, 
2019 Aug 19 (Mon) 0:00, 95.7714, 100, 95.5074, 94.3579, 98.7874, 92.4995, 94.5297, 90.7177, 97.5219, 
2019 Aug 19 (Mon) 0:30, 100, 100, 100, 100, 98.7874, 98.1965, 100, 96.4393, 100, 
2019 Aug 19 (Mon) 1:00, 100, 100, 100, 100, 98.7874, 98.1965, 100, 100, 100, 
2019 Aug 19 (Mon) 1:30, 100, 100, 100, 100, 98.7874, 98.1965, 100, 100, 100, 
2019 Aug 19 (Mon) 2:00, 100, 100, 100, 100, 98.7874, 98.1965, 100, 100, 100, 
2019 Aug 19 (Mon) 2:30, 100, 100, 100, 100, 98.7874, 98.1965, 100, 100, 100, 
2019 Aug 19 (Mon) 3:00, 100, 100, 100, 100, 98.7874, 98.1965, 100, 100, 100, 
2019 Aug 19 (Mon) 3:30, 100, 100, 100, 100, 98.7874, 98.1965, 100, 100, 100, 
2019 Aug 19 (Mon) 4:00, 100, 100, 100, 100, 98.7874, 98.1965, 100, 100, 100, 
2019 Aug 19 (Mon) 4:30, 100, 100, 100, 100, 98.7874, 98.1965, 100, 100, 100, 
2019 Aug 19 (Mon) 5:00, 100, 100, 100, 100, 98.7874, 98.1965, 100, 100, 100, 
2019 Aug 19 (Mon) 5:30, 100, 100, 100, 100, 98.7874, 98.1965, 100, 100, 100, 
2019 Aug 19 (Mon) 6:00, 100, 100, 100, 100, 98.7874, 98.1965, 100, 100, 100, 
2019 Aug 19 (Mon) 6:30, 100, 100, 100, 100, 98.7874, 98.1965, 100, 100, 100, 
2019 Aug 19 (Mon) 7:00, 100, 100, 100, 100, 98.7874, 98.1965, 100, 100, 100, 
2019 Aug 19 (Mon) 7:30, 100, 100, 100, 100, 98.7874, 98.1965, 100, 100, 100, 
2019 Aug 19 (Mon) 8:00, 100, 100, 100, 100, 98.7874, 98.1965, 100, 100, 100, 
2019 Aug 19 (Mon) 8:30, 100, 100, 100, 100, 98.7874, 98.1965, 100, 100, 100, 
2019 Aug 19 (Mon) 9:00, 100, 100, 100, 100, 98.7874, 98.1965, 100, 100, 100, 
2019 Aug 19 (Mon) 9:30, 100, 100, 100, 100, 98.7874, 98.1965, 100, 100, 100, 
2019 Aug 19 (Mon) 10:00, 100, 100, 100, 100, 98.7874, 98.1965, 100, 100, 100, 
2019 Aug 19 (Mon) 10:30, 100, 100, 100, 100, 98.7874, 98.1965, 100, 100, 100, 
2019 Aug 19 (Mon) 11:00, 100, 100, 100, 100, 98.7874, 98.1965, 100, 100, 100, 
2019 Aug 19 (Mon) 11:30, 100, 100, 100, 100, 98.7874, 98.1965, 100, 100, 100, 
2019 Aug 19 (Mon) 12:00, 100, 100, 100, 100, 98.7874, 98.1965, 100, 100, 100, 
2019 Aug 19 (Mon) 12:30, 100, 100, 100, 100, 98.7874, 98.1965, 100, 100, 100, 
2019 Aug 19 (Mon) 13:00, 100, 100, 100, 100, 98.7874, 98.1965, 100, 100, 100, 
2019 Aug 19 (Mon) 13:30, 100, 100, 100, 100, 98.7874, 98.1965, 100, 100, 100, 
2019 Aug 19 (Mon) 14:00, 100, 100, 100, 100, 98.7874, 98.1965, 100, 100, 100, 
2019 Aug 19 (Mon) 14:30, 100, 100, 100, 100, 98.7874, 98.1965, 100, 100, 100, 
2019 Aug 19 (Mon) 15:00, 100, 100, 100, 100, 98.7874, 98.1965, 100, 100, 100, 
2019 Aug 19 (Mon) 15:30, 100, 100, 100, 100, 98.7874, 98.1965, 100, 100, 100, 
2019 Aug 19 (Mon) 16:00, 100, 100, 100, 100, 98.7874, 98.1965, 100, 100, 100, 
2019 Aug 19 (Mon) 16:30, 100, 100, 100, 100, 98.7874, 98.1965, 100, 100, 100, 
2019 Aug 19 (Mon) 17:00, 100, 100, 100, 100, 98.7874, 98.1965, 100, 100, 100, 
2019 Aug 19 (Mon) 17:30, 100, 100, 100, 100, 98.7874, 98.1965, 100, 100, 100, 
2019 Aug 19 (Mon) 18:00, 100, 100, 100, 100, 98.7874, 98.1965, 100, 100, 100, 
2019 Aug 19 (Mon) 18:30, 90.2564, 90.2564, 90.2564, 90.2564, 89.0438, 88.4529, 90.2564, 90.2564, 90.2564, 
2019 Aug 19 (Mon) 19:00, 95.9848, 95.9848, 95.9848, 95.9848, 94.7877, 94.2042, 95.9848, 95.9848, 95.9848, 
2019 Aug 19 (Mon) 19:30, 100, 100, 100, 100, 100, 99.872, 100, 100, 100, 
2019 Aug 19 (Mon) 20:00, 100, 100, 100, 100, 100, 99.872, 100, 100, 100, 
2019 Aug 19 (Mon) 20:30, 100, 100, 100, 100, 100, 99.872, 100, 100, 100, 
2019 Aug 19 (Mon) 21:00, 100, 100, 100, 100, 100, 99.872, 100, 100, 100, 
2019 Aug 19 (Mon) 21:30, 100, 100, 100, 100, 100, 99.872, 100, 100, 100, 
2019 Aug 19 (Mon) 22:00, 100, 100, 100, 100, 100, 99.872, 100, 100, 100, 
2019 Aug 19 (Mon) 22:30, 100, 100, 100, 100, 100, 99.872, 100, 100, 100, 
2019 Aug 19 (Mon) 23:00, 100, 100, 100, 100, 100, 99.872, 100, 100, 100, 
2019 Aug 19 (Mon) 23:30, 100, 100, 100, 100, 100, 99.872, 100, 100, 100, 
2019 Aug 20 (Tue) 0:00, 100, 100, 100, 100, 100, 99.872, 100, 100, 100, 
